GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Meecrowave :: Core,org.apache.meecrowave.openwebbeans,MeecrowaveSecurityService.MeecrowavePrincipal,0,25,0,0,0,7,0,2,0,2
Meecrowave :: Core,org.apache.meecrowave.openwebbeans,OWBAutoSetup.EagerBootListener,4,126,0,0,1,29,1,8,1,8
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.new Catalina() {...},6,0,0,0,4,0,4,0,4,0
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.new StandardContext() {...},23,22,3,3,5,7,2,3,0,2
Meecrowave :: Core,org.apache.meecrowave,Meecrowave,942,1379,106,76,180,294,93,65,19,47
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.Builder,732,739,58,44,228,205,141,78,98,70
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.TomcatWithFastSessionIDs,31,58,5,5,6,8,3,4,0,2
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.MeecrowaveContainerLoader,0,5,0,0,0,2,0,1,0,1
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.ValueTransformers,24,74,3,5,3,12,3,3,0,2
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.LoginConfigBuilder,44,27,0,0,15,8,9,5,9,5
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.Builder.new StrLookup() {...},12,9,2,0,2,1,2,1,1,1
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.Builder.new Properties() {...},13,0,0,0,3,0,1,0,1,0
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.ValueTransformers.new ValueTransformer() {...},8,134,0,0,3,7,1,2,1,2
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.DeploymentMeta,0,12,0,0,0,5,0,1,0,1
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.SecurityConstaintBuilder,89,49,7,1,18,13,11,5,7,5
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.InternalTomcat,32,3,6,0,4,1,4,1,1,1
Meecrowave :: Core,org.apache.meecrowave,Meecrowave.QuickServerXmlParser,199,0,22,0,47,0,21,0,10,0
Meecrowave :: Core,org.apache.meecrowave,MeecrowaveExplosion,5,0,0,0,2,0,1,0,1,0
Meecrowave :: Core,org.apache.catalina.startup,MeecrowaveContextConfig,45,454,11,33,11,87,12,31,1,20
